Name,Experiment,Min Temperature [K],Avg Temperature [K],Max Temperature [K],Min Current [A/cm2],Avg Current [A/cm2],Max Current [A/cm2],Min Restivity [𝛀 cm],Avg Restivity [𝛀 cm],Max Restivity [𝛀 cm],Min Electrical Field [V/cm],Avg Electrical Field [V/cm],Max Electrical Field [V/cm],Min Osc Amplitude [V/cm],Avg Osc Amplitude [V/cm],Max Osc Amplitude [V/cm],Min Osc Period [ms],Avg Osc Period [ms],Max Osc Period [ms],Fixed Source
CA12X_C5,CA12X_C5_current_from_1e-7_to_10e-7A_flipped-20220412171054,119.31468582291203,119.35486252707838,119.39580796594396,1.7145231567419787e-05,2.1863568227536442e-05,2.6581904887653098e-05,12665688.828965014,22862153.24395986,36491041.931517184,220.04647908496733,496.0044681639929,750.3441895424837,405.6008849673202,427.37745805322135,437.5673202614379,2546,2614.3076923076924,2686,False
CA12X_C5,CA12X_C5_current_from_1e-7_to_3.5e-7A-20220413145630,112.99295407377627,112.99472267861503,112.99630936716764,8.201116613569693e-06,1.056682332902249e-05,1.2932530044475285e-05,14693280.910669988,35575951.73666546,56919313.06265636,123.65440588235295,374.3428299084967,653.3671797385621,342.7491581699347,418.10769105077935,460.476985620915,2573,2600.9166666666665,2649,False
CA12X_C5,CA12X_C5_current_from_3.5e-7_to_5e-7A-20220413145837,112.983088416186,112.9850275160332,112.98706866470188,1.3760527394883765e-05,1.5712235435132322e-05,1.766394347538088e-05,14663994.175137548,29627425.02813411,48519367.44921251,203.8437320261438,463.3395527873895,718.2485032679739,457.48053398692815,464.1997248366013,467.47083856209156,2568,2595.5,2625,False
CA12X_C5,CA12X_C5_at_fixed_current_3.5e-7A-20220413144545,113.08156988120663,113.08327219257586,113.08478201695092,1.3523956723338484e-05,1.3523956723338484e-05,1.3523956723338484e-05,14668405.973183943,32867937.7377668,49182647.77142858,198.37488758169937,444.504567550942,665.144,462.81762810457514,464.88990486564995,466.7618039215687,2581,2597.4285714285716,2612,True
CA12X_C5,CA12X_C5_at_fixed_current_4e-7A-20220413143802,113.16477062343225,113.17186716922805,113.17872620254413,1.545595054095827e-05,1.5455950540958272e-05,1.545595054095827e-05,14633575.063464053,30059779.6806077,44950939.01568627,226.17581241830067,464.6024680155751,694.7594901960784,464.69040392156865,466.9350725490196,468.5603705882353,2563,2605.6,2668,True
CA12X_C5,CA12X_C5_at_fixed_current_3e-7A-20220413144233,113.11246949447604,113.11402465267629,113.11622177558772,1.1591962905718701e-05,1.1591962905718701e-05,1.1591962905718701e-05,14675507.443572983,35177240.97192876,53603632.95590415,170.1179379084967,407.7732724721261,621.3713248366014,446.2015810457517,448.8934867828613,451.25328300653604,2574,2588.5714285714284,2614,True
CA12X_C5,CA12X_C5_current_from_1e-7_to_10e-7A-20220413133337,118.8475767630251,118.8887146868092,118.92845485016645,1.6638803898684666e-05,2.0897075986499695e-05,2.5155348074314735e-05,12917538.345313093,24312876.930652533,38428740.3744175,224.50654640522876,503.41153187531415,743.316,409.3244352941177,424.06273753501404,434.35421960784305,2582,2584.4,2587,False
CA12X_C5,CA12X_C5_current_from_1e-7_to_10e-7A-20220412170113,119.65868870596657,119.68175843526602,119.70532285693916,1.791485176338345e-05,2.248138260503021e-05,2.7047913446676968e-05,12534942.333763331,22577089.390296478,35590115.6299167,229.76937777777778,503.79042406197044,751.8771633986928,407.82226797385624,422.8609734827264,432.6885928104576,2562,2596.4615384615386,2650,False
CA12X_C5,CA12X_C5_at_fixed_current_4.5e-7A-20220413144649,113.06991445981276,113.07114359757874,113.07235926724101,1.7387944358578053e-05,1.7387944358578053e-05,1.7387944358578053e-05,14646085.49211329,28665648.444400016,41233794.33376907,254.66531960784314,498.436700153787,716.9709215686275,457.63803921568626,460.42985214233846,462.30152810457525,2405,2488.75,2585,True
CA12X2_C1,CA12X2_C1_current_square_waveform_value_1.6e-07A-20220428171247,87.67167281984118,87.67647207047378,87.68096473893804,2.7081922816519973e-06,2.7081922816519977e-06,2.7081922816519973e-06,9464588.38542024,25992949.883770876,42771940.80733276,25.631925214408234,70.39390625259547,115.83463996569468,86.40836655231561,88.50802134433962,90.17515025728987,1973,2113.8297872340427,2290,True
CA12X2_C1,CA12X2_C1_at_fixed_current_1.6e-7A-20220428174333,87.74373837794545,88.13923212876271,89.76171110262996,2.7081922816519973e-06,2.7081922816519973e-06,2.7081922816519973e-06,9243028.758319039,25130689.009325773,41762182.85368782,25.031899142367067,68.0587380076527,113.10002126929675,78.03888336192111,83.93290185040803,87.45030291595198,2162,2202.551724137931,2313,True
CA12X2_C1,CA12X2_C1_current_from_0.3e-6_to_0.4e-6A-20220428162717,87.9218263228013,87.94904005045917,87.97783169841485,5.14694706589474e-06,5.837812443867188e-06,6.5286778218396356e-06,9427107.85586329,20341166.295256827,33402040.658652883,48.90107890222985,118.41558341212402,184.48066209262436,122.60949159519726,123.35304821530669,124.00573516295023,2155,2186.294117647059,2232,False
CA12X2_C1,CA12X2_C1_current_from_-2.0e-7_to_-0.5e-7A_flipped-20220428165623,87.63726277177854,87.63895617160095,87.64009875046092,-3.0774912291499964e-06,-2.487638743562914e-06,-1.8977862579758316e-06,9475127.00083019,25854690.817332692,43472941.493823744,-129.13884922813037,-64.26450891938251,-18.01283996569468,64.85282898799314,84.14879002287022,113.55715608919384,1972,2080.8260869565215,2237,False
CA12X2_C1,CA12X2_C1_current_square_waveform_value_3e-07A-20220428163159,87.64287393646669,87.70140729442748,87.75435989741253,5.0778605280974944e-06,5.0778605280974944e-06,5.0778605280974944e-06,9446759.314899944,17887651.025282703,33818687.09845626,47.96932624356776,90.83099708166573,171.72657632933104,122.58724099485421,123.33177608233278,123.75725008576327,2154,2188.6363636363635,2262,True
CA12X2_C1,CA12X2_C1_at_fixed_current_6e-7A-20220428175416,99.44691436328289,99.45482936800585,99.46314877943496,1.0155721056194989e-05,1.0155721056194989e-05,1.0155721056194989e-05,7982122.117358493,13810893.361534324,19026548.14362493,81.06420566037737,140.2595805165977,193.2283156089194,111.21857650085764,111.7766649132838,112.15549931389363,2163,2182.75,2202,True
CA12X2_C1,CA12X2_C1_current_from_0.5e-6_to_1e-6A-20220428153610,103.02333948601819,103.29320548591318,103.57120687515669,1.0856705169501377e-05,1.2908365988934707e-05,1.496002680836804e-05,7040549.650362029,11193656.87485226,16604340.135563811,77.03903927958834,143.87750863933908,202.2291269296741,95.49157735849056,102.51087199313893,106.6155627787307,2140,2184.1666666666665,2223,False
CA12X2_C1,CA12X2_C1_current_from_0.5e-6_to_1e-6A-20220428154754,101.85639118767419,102.09504530727277,102.33985131079038,9.317959554926379e-06,1.14551062418361e-05,1.3592252928745818e-05,7394139.927318011,12220128.803803772,18734884.060100403,69.53039125214409,139.15367471832644,200.36322984562608,98.56119399656949,105.96878906847867,109.5421308747856,2162,2196.695652173913,2234,False
CA12X2_C1,CA12X2_C1_current_from_1e-7_to_1e-6A-20220428162518,97.89618973722469,97.94933433762138,98.00410809954757,5.847233335384994e-06,8.00147719578999e-06,1.0155721056194989e-05,8288992.254978229,15932519.651920404,26625886.362999007,50.1788782161235,125.799479694801,195.11284562607204,105.50889210977701,113.234683350486,116.44686380789022,2157,2187.230769230769,2216,False
CA12X2_C1,CA12X2_C1_current_from_-2.0e-7_to_-0.5e-7A-20220428165205,87.6280862014115,87.62969548964979,87.63134259403184,-3.0774912291499964e-06,-2.487638743562914e-06,-1.8977862579758316e-06,9451405.54772592,25833385.646986667,43498557.92974271,-128.9261322469983,-64.21018001532791,-17.949061406518013,65.08615951972556,84.05999859919955,113.72166483704976,1956,2090.7391304347825,2335,False
